Origin,Destination,Vagon,Class,Revenue
S36,S19,Z,3,137.0
S36,S22,Z,2,157.0
S36,S25,Z,4,72.0
S36,S25,Z,5,60.0
S36,S25,Z,6,43.0
S36,S26,P,5,49.5
S36,S26,Z,3,45.0
S36,S26,Z,6,23.0
S36,S31,P,1,274.0
S36,S31,P,2,227.0
S36,S31,P,4,183.0
S36,S31,Z,1,221.0
S36,S31,Z,2,174.0
S36,S31,Z,3,138.0
S36,S31,Z,4,119.0
S36,S31,Z,5,99.0
S36,S31,Z,7,47.7
S36,S31,Z,8,27.0
S36,S33,Z,1,250.0
S36,S33,Z,2,177.0
S36,S33,Z,3,155.0
S36,S33,Z,5,112.0
S36,S33,Z,6,80.0
S36,S34,P,1,274.0
S36,S34,P,3,191.0
S36,S34,P,6,124.0
S36,S34,Z,1,221.0
S36,S34,Z,3,138.0
S36,S34,Z,5,99.0
S36,S4,Z,3,175.0
S36,S43,Z,2,129.0
S36,S43,Z,4,97.0
S36,S43,Z,8,19.8
S36,S45,P,7,113.0
S36,S45,Z,1,238.0
S36,S45,Z,4,126.0
S36,S45,Z,5,106.0
S36,S45,Z,8,29.0
S36,S46,Z,1,293.0
S36,S46,Z,7,59.5
S36,S50,Z,2,200.0
S36,S9,P,2,155.0
S36,S9,Z,2,108.0
S36,S9,Z,3,96.0
S36,S9,Z,4,68.85
S39,S10,Z,2,187.2
S39,S12,Z,2,216.0
S39,S13,Z,2,177.65
S39,S2,Z,1,218.7
S39,S23,Z,3,189.0
S39,S25,P,5,131.0
S39,S25,Z,7,44.0
S39,S26,Z,5,57.0
S39,S31,Z,1,232.2
S39,S31,Z,3,161.0
S39,S31,Z,5,114.0
S39,S31,Z,7,62.0
S39,S33,P,3,181.8
S39,S33,Z,1,200.7
S39,S34,Z,1,258.0
S39,S36,Z,1,0.0
S39,S36,Z,5,23.0
S39,S36,Z,6,16.0
S39,S36,Z,8,6.0
S39,S4,Z,3,182.0
S39,S43,Z,2,159.0
S39,S43,Z,4,120.0
S39,S46,Z,8,32.4
S4,S10,Z,1,39.6
S4,S12,Z,1,121.0
S4,S12,Z,4,90.0
S4,S17,P,3,156.0
S4,S17,Z,4,92.0
S4,S2,Z,1,46.0
S4,S20,Z,4,31.0
S4,S38,P,3,151.3
S4,S38,Z,1,131.0
S4,S38,Z,4,98.0
S4,S46,Z,4,26.0
S43,S12,P,1,265.0
S43,S12,Z,1,207.0
S43,S12,Z,4,143.1
S43,S17,Z,1,186.3
S43,S2,Z,1,185.4
S43,S31,P,4,81.0
S43,S33,Z,1,168.0
S43,S33,Z,4,97.0
S43,S4,Z,1,207.9
S43,S4,Z,3,128.7
S43,S45,Z,1,136.0
S43,S46,P,1,267.0
S45,S10,P,1,227.0
S45,S10,Z,1,184.0
S45,S12,Z,1,193.0
S45,S38,Z,4,121.5
S45,S4,Z,1,184.0
S45,S4,Z,3,102.6
S45,S46,Z,1,218.0
S45,S46,Z,2,154.0
S45,S46,Z,8,26.0
S45,S50,Z,1,124.0
S46,S11,P,1,61.0
S46,S11,P,6,37.0
S46,S11,Z,4,31.0
S46,S11,Z,8,11.0
S46,S12,P,1,97.0
S46,S12,P,2,96.0
S46,S12,P,4,78.0
S46,S12,P,5,69.0
S46,S12,P,6,53.0
S46,S12,Z,1,76.0
S46,S12,Z,2,75.0
S46,S12,Z,4,57.0
S46,S12,Z,8,18.0
S46,S17,P,2,127.0
S46,S17,P,4,104.0
S46,S17,P,5,91.0
S46,S17,Z,1,90.9
S46,S17,Z,4,76.0
S46,S17,Z,7,33.0
S46,S17,Z,8,22.0
S46,S20,P,1,49.3
S46,S20,Z,1,33.3
S46,S20,Z,8,9.0
S46,S38,P,1,129.0
S46,S38,P,6,60.25
S46,S38,Z,1,101.0
S46,S38,Z,4,76.0
S46,S38,Z,8,22.0
S5,S10,Z,6,94.0
S5,S16,Z,3,51.0
S5,S16,Z,6,26.0
S5,S17,Z,1,243.0
S5,S19,P,1,319.0
S5,S19,Z,2,182.0
S5,S19,Z,7,62.0
S5,S19,Z,8,31.0
S5,S2,Z,8,32.4
S5,S22,Z,1,258.0
S5,S22,Z,8,31.0
S5,S25,Z,4,97.0
S5,S25,Z,5,81.0
S5,S25,Z,8,22.0
S5,S26,Z,1,129.0
S5,S26,Z,4,74.0
S5,S26,Z,5,57.0
S5,S26,Z,6,34.85
S5,S30,P,3,237.0
S5,S30,Z,1,258.0
S5,S30,Z,2,182.0
S5,S30,Z,5,115.0
S5,S30,Z,6,82.0
S5,S30,Z,7,62.0
S5,S31,Z,1,258.0
S5,S31,Z,2,182.0
S5,S31,Z,3,176.0
S5,S31,Z,4,149.0
S5,S31,Z,5,114.0
S5,S31,Z,7,62.0
S5,S31,Z,8,31.0
S5,S33,Z,1,279.0
S5,S33,Z,2,197.0
S5,S33,Z,4,125.8
S5,S33,Z,8,33.0
S5,S34,Z,1,206.0
S5,S34,Z,2,183.0
S5,S34,Z,4,138.0
S5,S34,Z,5,115.0
S5,S34,Z,6,69.7
S5,S34,Z,7,62.0
S5,S34,Z,8,31.0
S5,S36,P,5,42.0
S5,S36,Z,1,0.0
S5,S36,Z,5,23.0
S5,S36,Z,6,16.0
S5,S36,Z,7,12.0
S5,S36,Z,8,7.0
S5,S4,Z,1,294.0
S5,S43,P,1,278.0
S5,S43,P,4,184.0
S5,S43,Z,2,175.0
S5,S43,Z,4,120.0
S5,S45,Z,1,258.0
S5,S45,Z,3,161.0
S5,S46,Z,2,182.75
S5,S46,Z,6,97.0
S5,S46,Z,7,73.0
S5,S50,Z,2,200.0
S5,S50,Z,8,34.0
S5,S9,Z,1,206.0
S5,S9,Z,3,129.0
S5,S9,Z,4,120.0
S5,S9,Z,5,78.2
S5,S9,Z,7,50.0
S5,S9,Z,8,25.0
S50,S1,Z,1,80.0
S50,S10,Z,2,85.5
S50,S12,Z,1,158.0
S50,S2,Z,1,118.0
S50,S20,Z,4,78.0
S50,S4,P,1,0.0
S50,S6,Z,3,99.0
S6,S11,Z,2,29.0
S6,S12,P,4,60.0
S6,S12,Z,1,58.0
S6,S12,Z,2,52.0
S6,S12,Z,3,45.0
S6,S12,Z,8,15.0
S6,S17,Z,1,76.0
S6,S17,Z,4,52.0
S6,S17,Z,7,30.0
S6,S17,Z,8,11.0
S6,S38,P,2,96.0
S6,S38,P,5,69.0
S6,S38,Z,1,76.0
S6,S38,Z,3,59.0
S6,S38,Z,4,52.0
S6,S38,Z,7,28.0
S6,S38,Z,8,16.2
S8,S10,Z,8,35.0
S8,S12,P,1,286.7
S8,S12,Z,1,243.0
S8,S13,Z,6,90.0
S8,S16,Z,5,37.0
S8,S16,Z,6,28.0
S8,S19,Z,1,258.0
S8,S19,Z,2,182.0
S8,S19,Z,3,161.0
S8,S19,Z,7,62.0
S8,S19,Z,8,26.35
S8,S20,Z,1,243.0
S8,S22,Z,3,161.0
S8,S22,Z,7,52.7
S8,S22,Z,8,31.0
S8,S25,P,5,131.0
S8,S25,Z,3,114.0
S8,S25,Z,4,97.0
S8,S25,Z,5,88.0
S8,S25,Z,6,58.0
S8,S25,Z,8,22.0
S8,S26,Z,3,79.0
S8,S26,Z,5,62.0
S8,S26,Z,6,40.0
S8,S26,Z,8,15.0
S8,S30,Z,1,258.0
S8,S30,Z,2,182.0
S8,S30,Z,3,176.0
S8,S30,Z,6,82.0
S8,S30,Z,7,62.0
S8,S30,Z,8,31.0
S8,S31,P,2,241.0
S8,S31,Z,1,258.0
S8,S31,Z,2,200.0
S8,S31,Z,3,161.0
S8,S31,Z,4,137.0
S8,S31,Z,5,124.0
S8,S31,Z,7,62.0
S8,S31,Z,8,31.0
S8,S33,Z,1,279.0
S8,S33,Z,2,217.0
S8,S33,Z,3,173.0
S8,S33,Z,5,106.47
S8,S33,Z,7,67.0
S8,S33,Z,8,33.0
S8,S34,P,1,267.0
S8,S34,Z,1,258.0
S8,S34,Z,3,176.0
S8,S34,Z,6,82.0
S8,S34,Z,7,62.0
S8,S34,Z,8,31.0
S8,S36,Z,1,0.0
S8,S36,Z,6,16.0
S8,S36,Z,7,13.0
S8,S36,Z,8,7.0
S8,S38,Z,1,243.0
S8,S38,Z,2,237.0
S8,S4,Z,1,294.0
S8,S43,P,1,278.0
S8,S43,Z,2,159.0
S8,S43,Z,3,139.0
S8,S43,Z,4,120.0
S8,S43,Z,5,100.0
S8,S43,Z,7,54.0
S8,S43,Z,8,27.0
S8,S45,Z,1,258.0
S8,S45,Z,2,182.0
S8,S45,Z,3,161.0
S8,S45,Z,7,62.0
S8,S46,P,7,144.0
S8,S46,Z,1,304.0
S8,S46,Z,6,97.0
S8,S46,Z,7,73.0
S8,S46,Z,8,36.0
S8,S9,Z,3,141.0
S8,S9,Z,4,110.0
S8,S9,Z,7,50.0
S9,S10,P,1,264.7
S9,S13,P,7,57.0
S9,S17,Z,1,207.0
S9,S19,Z,2,77.0
S9,S20,Z,1,185.4
S9,S31,Z,4,55.0
S9,S33,Z,1,174.0
S9,S33,Z,2,124.0
S9,S34,Z,1,134.0
S9,S34,Z,2,85.5
S9,S34,Z,3,83.0
S9,S38,Z,3,163.0
S9,S45,Z,4,75.0
S9,S46,Z,1,206.0
S9,S46,Z,2,163.8
