Origin,Destination,Vagon,Class,Revenue
S33,S46,Z,4,85.0
S33,S46,Z,5,71.0
S33,S46,Z,7,38.0
S33,S48,P,2,141.0
S33,S50,P,3,30.04
S33,S50,Z,3,36.0
S33,S50,Z,4,31.0
S35,S24,Z,8,12.0
S36,S25,Z,6,44.0
S36,S25,Z,8,22.0
S36,S26,Z,4,40.0
S36,S26,Z,5,33.0
S36,S26,Z,6,24.0
S36,S26,Z,8,12.0
S36,S29,Z,4,109.0
S36,S29,Z,5,91.0
S36,S31,P,4,172.0
S36,S31,P,5,147.05
S36,S31,Z,4,119.0
S36,S31,Z,5,99.0
S36,S31,Z,6,71.0
S36,S31,Z,7,53.0
S36,S31,Z,8,27.0
S36,S43,Z,6,58.0
S36,S51,Z,5,25.0
S37,S41,Z,4,33.75
S39,S29,Z,4,128.0
S39,S31,P,1,115.0
S39,S31,P,3,205.9
S39,S31,P,5,176.0
S39,S31,P,6,143.0
S39,S31,Z,4,138.0
S39,S31,Z,5,115.0
S39,S31,Z,6,82.0
S39,S31,Z,7,62.0
S39,S31,Z,8,31.0
S39,S32,Z,6,47.0
S39,S43,Z,5,90.9
S39,S50,P,1,295.0
S4,S14,Z,3,59.4
S4,S2,P,4,30.35
S4,S24,Z,4,103.0
S4,S41,Z,4,74.0
S4,S41,Z,5,62.0
S4,S41,Z,8,17.0
S4,S46,Z,4,27.0
S4,S46,Z,8,6.0
S41,S24,Z,8,14.0
S43,S19,Z,1,85.0
S43,S31,P,4,77.0
S43,S31,Z,5,45.0
S43,S33,P,1,174.0
S43,S33,Z,1,134.0
S43,S45,Z,1,109.0
S43,S46,Z,1,206.0
S43,S46,Z,4,131.1
S45,S33,Z,1,69.0
S45,S4,Z,1,147.0
S45,S46,Z,1,174.0
S45,S46,Z,3,136.0
S45,S50,Z,1,99.0
S46,S14,Z,5,32.0
S46,S14,Z,6,23.0
S46,S14,Z,7,18.93
S46,S2,Z,3,21.21
S46,S24,P,4,0.0
S46,S24,P,5,72.0
S46,S24,Z,5,72.0
S46,S24,Z,6,52.0
S46,S24,Z,7,39.0
S46,S24,Z,8,19.0
S46,S35,Z,1,71.2
S46,S35,Z,4,68.0
S46,S35,Z,5,57.0
S46,S35,Z,6,36.9
S46,S37,Z,2,0.0
S46,S37,Z,4,25.0
S46,S37,Z,5,18.9
S46,S41,P,5,66.0
S46,S41,Z,4,53.0
S46,S41,Z,5,44.0
S46,S41,Z,6,32.0
S46,S41,Z,7,24.0
S46,S48,Z,6,15.0
S48,S24,Z,4,82.0
S48,S24,Z,6,49.0
S48,S41,Z,4,45.0
S48,S41,Z,6,27.0
S5,S19,Z,8,31.0
S5,S21,Z,8,14.0
S5,S25,Z,6,59.0
S5,S25,Z,8,29.0
S5,S26,Z,6,30.75
S5,S29,P,5,163.0
S5,S29,Z,4,128.0
S5,S29,Z,5,107.0
S5,S30,Z,1,206.0
S5,S31,P,3,222.0
S5,S31,P,4,199.0
S5,S31,P,5,176.0
S5,S31,P,9,195.0
S5,S31,Z,4,138.0
S5,S31,Z,5,115.0
S5,S31,Z,6,82.0
S5,S31,Z,7,62.0
S5,S31,Z,8,31.0
S5,S32,Z,6,47.0
S5,S32,Z,8,23.0
S5,S36,Z,5,24.0
S5,S36,Z,8,8.5
S5,S43,P,3,193.0
S5,S43,Z,4,121.0
S5,S43,Z,5,101.0
S5,S9,Z,5,92.0
S50,S10,Z,3,76.0
S50,S2,Z,3,92.0
S50,S2,Z,4,79.0
S50,S23,P,3,84.4
S50,S23,Z,2,105.0
S50,S4,Z,1,0.0
S50,S4,Z,8,15.0
S50,S41,P,3,107.1
S50,S41,Z,3,119.0
S50,S46,P,4,114.0
S50,S46,Z,3,92.0
S50,S46,Z,4,79.0
S50,S46,Z,8,18.0
S51,S25,Z,8,13.0
S51,S46,Z,2,201.0
S8,S19,Z,1,185.4
S8,S21,Z,6,27.0
S8,S25,P,9,62.0
S8,S25,Z,4,98.0
S8,S25,Z,5,82.0
S8,S25,Z,6,59.0
S8,S25,Z,8,29.0
S8,S26,P,8,51.0
S8,S26,Z,8,21.0
S8,S30,Z,1,25.83333300000000
S8,S30,Z,2,183.0
S8,S31,P,1,115.0
S8,S31,P,3,222.0
S8,S31,P,4,199.0
S8,S31,P,6,143.0
S8,S31,Z,4,138.0
S8,S31,Z,5,115.0
S8,S31,Z,6,82.0
S8,S31,Z,7,62.0
S8,S31,Z,8,31.0
S8,S32,Z,6,47.0
S8,S32,Z,8,23.0
S8,S33,P,1,0.0
S8,S33,Z,1,223.0
S8,S33,Z,7,67.0
S8,S33,Z,8,33.0
S8,S36,Z,5,24.0
S8,S36,Z,8,8.5
S8,S4,Z,1,235.0
S8,S41,Z,8,37.0
S8,S43,Z,4,121.0
S8,S43,Z,6,72.0
S8,S50,Z,1,203.4
S8,S51,Z,5,40.5
S8,S51,Z,8,16.0
S8,S9,Z,4,111.0
S8,S9,Z,5,92.0
S9,S19,Z,1,88.0
S9,S31,Z,4,56.0
S9,S31,Z,5,46.0
S9,S33,Z,1,139.0
S9,S37,Z,1,206.0
S9,S50,Z,1,151.0

